Language;Original;Gloss;Translation;Type;Remarks;Source;Citekey;Page;Exno;AddSourceInfo;Predicate;SbjPrs;SbjNbr;SbjGen;SbjCase;RPrs;RNbr;RGen;RCase;TPrs;TNbr;TGen;TCase
Kapampangan;Anyɑ inɑtyɑ ne ning mɑtying ing pɑu king dɑnum.;that's.why threw 3ERG/3ABS C.ERG monkey C.ABS turtle C.OBL water;That's why the monkey threw the turtle into the water.;ICIA;;Mithun (1994: 250);Mithun1994;250;9;;throw;3;SG;;ERG;3;SG;;OBL;3;SG;;ABS
Mekens;ẽt te o-i-sop ikãõ;you foc 1sf-OM-see that(time);You were what I saw at that time. / It was you that I saw that time.;Transitive;;Vilacy Galucio (2001: 82);VilacyGalucio2001;82;68;;see;1;SG;;;/;/;/;/;2;SG;;ABS
Mekens;o-top kɨpe õ-a-t õr=õ;1s-father machete give-Them-past Ⅰ=Dat;My father gave me the big knife.;ICIA;;Vilacy Galucio (2001: 82);VilacyGalucio2001;82;69;;give;3;SG;;;1;SG;;DAT;3;SG;;ABS
Mekens;e-so-a-t õt;2s-see-Them-past I;I saw you;Transitive;;Vilacy Galucio (2001: 130);VilacyGalucio2001;130;31b;;see;1;SG;;ERG;/;/;/;/;2;SG;;ABS
Moksha;maša-nʹ sʹora-c maks-sʹ kaza-tʹi tʹišə-t;Masha-GEN boy-3SG.POSS.SG give-PST.3[SG] goat-DEF.SG.DAT grass-PL;Masha’s son gave grass to the goat.;IC;;Toldova (2018: 553);Toldova2018pred;553;31a;;give;3;SG;;NOM;3;SG;;DAT;3;PL;;NOM
Moksha;vasʹɛ maks-əzʹə jalga-ncti knʹiga-nc luv-əm-s;Vasja give-PST.3PL.OBJ.3SG.SBJ friend-3SG.POSS.SG.DAT book-3SG.POSS.SG.GEN read-INF-ILL;Vasja gave his book to his friend to read.;ICIA;;Toldova (2018: 567);Toldova2018pred;567;82;;give;3;SG;;NOM;3;SG;;DAT;3;SG;;NOM
Puinave;ót jɑ-kɑ-bɯ́k-ni pɑdɑtɑ́ bɤ̂i-ɑt;3PL 3SG-3PL-give-REC.PST money 3SG.INDEF-OBL;They gave the money to the other one.;ICIA;;Girón (2008: 351) via Birchall (2014: 62);Birchall2014;62;Girón: 659 Birchall: 33a;;give;3;PL;;NOM;3;SG;;OBL;3;SG;;NOM
Puinave;jɑ-bi-bɤ́k-ɑt;3SG-1PL-bury-CPLT;We already buried him.;Transitive;;Girón (2008: 320) via Birchall (2014: 63);Birchall2014;63;Girón: 609b. Birchall: 33b.;;bury;1;PL;;;/;/;/;/;3;SG;;
Tiriyó;karakuri w-ekarama manko_ja;money 1A-give:Prs.Prf 1:mother_Dat;I gave money to my mother.;ICIA;;Meira (1999: 512);Meira1999;512;18c;;give;1;SG;;;3;SG;;DAT;3;SG;;NOM
Tiriyó;serë w-ene-po ëë-ja;3InPx 1A-see-Caus:Prs.Prf 2-Dat;I showed you that. (=I made you see);ICIA; verb-object agreement unclear;Meira (1999: 512);Meira1999;512;18d;;show;1;SG;;;2;SG;;DAT;3;SG;;NOM
Tiriyó;phako karakuri ekarama ji-pawana-rï_ja tï-pakoro-h_tao;1:father money give:Prs.Prf 1-friend:Pos_Dat 3R-house-Pos_In;My father gave money to my friend in his house.;ICIA; verb-object agreement unclear;Meira (1999: 513);Meira1999;513;19;;give;3;SG;;NOM;3;SG;;DAT;3;SG;;NOM
Tiriyó;pïrëu w-ekarama-po Asehpë_ja Simetu_ja;arrow 1A-give-Caus:Prs.Prf Asehpë_Causee?/Dat? Simetu_Causee?/Dat?;I made Asehpë give the arrow to Simetu. ~ I made Simetu give the arrow to Asehpë.;ICIA;;Meira (1999: 513);Meira1999;513;20a;;give;3;SG;;;3;SG;;DAT;3;SG;;NOM
Tiriyó;tï-maja t-ëkarama-e i-papa-rï_ja;3R-knife:POS Rm.Pst-give-Rm.Pst 3-father-Pos_Agt?/Da?;His/Her father gave his knife (to someone). / (S/he) gave his/her knife to his/her (=someone else’s) father.;ICIA;;Meira (1999: 513);Meira1999;513;20b;;give;3;SG;;ERG/DAT;3;SG;;DAT;3;SG;;NOM
Tiriyó;ji-pawana-rï_ja pakoro w-ekarama-e;1-friend-Pos_Dat house 1A-give:Prs.Ipf-Cty;I am giving a house to my friend.;ICIA;;Meira (1999: 514);Meira1999;514;21b;;give;1;SG;;;3;SG;;DAT;3;SG;;NOM
Xavánte;E te za ti-wi ĩ-sawi ?;PI HTO PROSP 3ᵉ-DTR 2ᵉERG[3ᵉABS]interdire;Est-ce que tu vas le lui interdire ?;ICIA;;Estevam (2011: 177);Estevam2011;177;56.a;;prohibit/interdire;2;SG;;ERG;3;SG;;PP;3;SG;;ABS
Xavánte;E te za ti-wi ĩ-sawi mo ?;PI HTO PROSP 3ᵉ-DTR 2ᵉERG[3ᵉABS]interdire AUX;Est-ce que tu le lui interdiras?;ICIA;;Estevam (2011: 177);Estevam2011;177;56.b;;prohibit/interdire;2;SG;;ERG;3;SG;;PP;3;SG;;ABS
Xavánte;Wa za aj-ma ti-sõ.;EGO PROSP 2ᵉ-DAT 3ᵉABS-donner;Je vais te le donner.;ICIA;;Estevam (2011: 177);Estevam2011;177;57.a;;give/donner;1;SG;;;2;SG;;DAT;3;SG;;ABS
Xavánte;Wa za te aj-ma sõmri.;EGO PROSP [1ᵉSG.ERG]AUX 2ᵉ-DAT [3ᵉABS]donner;Je te le donnerai;ICIA;;Estevam (2011: 177);Estevam2011;177;57.b;;give/donner;1;SG;;ERG;2;SG;;DAT;3;SG;;ABS
Yanomama;kɑmi=yɑ=nɨ ipɑ tëpë=Ø yɑ=kɨkɨ=hɨpɨ=kɨ tëhë;1=1SG=ERG 1POS glass.bead=Ø 1SG=CLN:collective=give=PFV2=REL.PRS;If I give away my glass beads […];Transitive;;Ferreira (2017: 395);Ferreira2017;395;38a;;give;1;SG;;ERG;/;/;/;/;3;PL;;ABS
Yanomama;pɑtere=pë=nɨ yɑmɑkɨ=topɨ=mɑ=he .;priest=PL=ERG 1PL=present=PST=3PL;The priests presented us [with glass beads].;Transitive;;Ferreira (2017: 395);Ferreira2017;395;38b; ;present;3;PL;;ERG;/;/;/;/;1;PL;;
Yanomama;Tẽrẽmɑ=ɑ=nɨ pei hẽɑropë=Ø  e=nɑkɑ=ɑ xoɑ=ki=mɑ;Tẽrẽma=SG=ERG INDEF husband=Ø DIF.PART=call/ask=PFV.VWL afterwards=PFV2=PST;Tẽrema then called her husband.;Transitive;;Ferreira (2017: 395);Ferreira2017;395;39;;call;3;SG;;ERG;/;/;/;/;3;SG;;ABS
Yanomama;xinɑru=u=pë=xo tëpë=kɨkɨ=xo ɨ̃hɨ̃=Ø thë=pë=hɨpɨ=kɨ=mɑ=he kɑmi=yɑmakɨ=hɑ;cotton=CLN:cotton=PL=ADD glass.bead=CLN:collective=ADD ANA=Ø CLN.GNR=3PL=give=PFV2=PST=3PL 1=1PL=OBL;Cotton, glass beads, they gave those things to us. ;ICIA;;Ferreira (2017: 408);Ferreira2017;408;60a;;give;3;PL;;;1;PL;;OBL;3;PL;;ABS
Yanomama;xinɑru=u=pë=hɑ tëpë=kɨkɨ=ha ɨ̃hɨ̃ thë=pë=hɑ yɑmakɨ=topɨ=ri=mɑ=he;cotton=CLN:cotton=PL=OBL glass.bead=PL=OBL ANA CLN:GNR=PL=OBL 1PL=present=PFV1=PST=3PL;Cotton, glass beads, they presented us with those things. ;SCSA;topɨɨ ‘to present’ takes R as its primary object and agrees with it (SCSA).;Ferreira (2017: 409);Ferreira2017;409;60b;;present;3;PL;;;1;PL;;ABS;3;PL;;OBL
Yanomama;kɑriperu yɑmɑ=pë=piximɑ=imi;miner 1PL=3PL=want=NEG;We do not want the miners.;Transitive;P Markierung am (bzw. vor) Verb;Ferreira (2017: 423);Ferreira2017;423;79a;;want;1;PL;;;/;/;/;/;3;PL;;ABS
Yanomama;huu yɑmɑ = tihi pë= të =prɑ =nɨ;tree 1PL=CLN:tree 3PL=take=DRV=REL.PST;Having taken the wood sticks.;Transitive;P Markierung am (bzw. vor) Verb;Ferreira (2017: 423);Ferreira2017;423;79b;;take;1;PL;;;/;/;/;/;3;PL;;ABS
Yanomama;kiki huu wɑ=tihi=pihi=o pɑri=o;that tree 2SG=CLN:tree=give=STV first=STV;Give me first that piece of wood.;SCSA;pihio ‘to give (to first person)’;Ferreira (2017: 423);Ferreira2017;423;79c;;give;2;SG;;;1;SG;;;3;PL;;ABS
Yanomama;Kayanau thëri=pë=ha kama matihi e=pë=hɨpɨ=ki=ma;Kayanau inhabitant=PL=OBL 3 belongings DIF.PART=PL=give=PFV2=PST;He gave his goods to the people from Kayanau.;ICIA;;Ferreira (2017: 506);Ferreira2017;506;55a;;give;3;SG;;;3;PL;;OBL;3;PL;;ABS
Yanomama;Kayanau thëri =pë  =ha kama matihi e= pë= hɨpɨ =a =ki =ma;Kayanau inhabitant=PL=OBL 3 belongings DIF.PART=PL=give=DISTR=PFV2=PST;He distributed his goods to the people from Kayanau.;ICIA;;Ferreira (2017: 506);Ferreira2017;506;55b;;distribute;3;SG;;;3;PL;;OBL;3;PL;;ABS
Aguaruna;nuwa hapimuku-utʃi-na ɨŋkɨ-a-u;woman broom-DIM-ACC put-IMPFV-REL;the women put their brooms (in baskets);Transitive;;Overall (2007: 215);Overall2007;215;22a;;put;3;PL;;NOM;/;/;/;/;3;PL;;ACC
Aguaruna;mi-na naŋkima-hu-a-ta;1SG-ACC throw-1SG.OBJ-HIAF-IMP;throw me! (Obs);Transitive;;Overall (2007: 216);Overall2007;216;24c;;throw (imperative);;;;;/;/;/;/;1;SG;;ACC
Aguaruna;mi-na su-hu-sa-ta;1SG-ACC give-1SG.OBJ-ATT-IMP;give (it) to me!;SCSA;;Overall (2007: 216);Overall2007;216;24d;;give (imperative);;;;;1;SG;;ACC;3;SG;;
Aguaruna;[hutii ainau-ti] ama-sa-tata-himɨ-i [tsamau] [atumɨ ainau];[1PL PL-SAP ]A give-ATT-FUT-1>2:PL-DECL [banana ]O [2PL PL ]E;we gave you (pl) bananas;SCSA;Overall (2007: 120, 215);Overall (2007: 444);Overall2007;444;7;;give;1;PL;;;2;PL;;;3;PL;;
Awa Pit;Santos=ta=na mɨza pyan-a-ma-t;Santos=ACC=TOP almost hit-PL:SUBJ-COMP-PFPART;They almost beat up Santos.;Transitive;;Curnow (1997: 73);Curnow1997;73;62;63/4;beat up;3;PL;;;/;/;/;/;3;SG;;ACC
Awa Pit;Camilo=na Santos=ta pala kwin-tɨ-zi  ;Camilo=TOP Santos=ACC plantain give-PAST-NONLOCUT;Camilo gave Santos a plantain.;SCSA;;Curnow (1997: 73);Curnow1997;73;65;;give;3;SG;;;3;SG;;ACC;3;SG;;NOM
Awa Pit;na=na kwizha=ta=na comida kwin-ta-w;1SG.(NOM)=TOP dog=ACC=TOP food give-PAST-LOCUT:SUBJ;I gave food to the dog.;SCSA;;Curnow (1997: 73);Curnow1997;73;66;;give;1;SG;;NOM;3;SG;;ACC;3;SG;;NOM
Awa Pit;na=na Santos=ta pashu mɨla-ta-w  ;1SG.(NOM)=TOP Santos=ACC daughter give-PAST-LOCUT:SUBJ;I gave my daughter to Santos.;SCSA;;Curnow (1997: 74);Curnow1997;74;67;68/69;give;1;SG;;NOM;3;SG;;ACC;3;SG;;NOM
Awa Pit;Ø Ø an kwin-zha!;Ø Ø more give-IMP.1OBJ;Give me more!;SCSA;;Curnow (1997: 76);Curnow1997;76;74;;give (imperative);;;;;1;SG;;;3;SG;;NOM
Awa Pit;Ø Ø pan pay-nin-zha!;Ø Ø bread buy-CAUS-IMP.1OBJ;Sell me bread!;SCSA;;Curnow (1997: 76);Curnow1997;76;75;73;sell (imperative);;;;;1;SG;;;3;SG;;NOM
Awa Pit;Camilo=na na-wa pala kwin-tɨ-s ;Camilo=TOP 1SG-ACC plantain give-PAST-LOCUT: UNDER;Camilo gave me a plantain.;SCSA;;Curnow (1997: 102);Curnow1997;102;119;S.102 121/22;give;3;SG;;NOM;1;SG;;ACC;3;SG;;NOM
Awa Pit;na=na pashpa=ta tɨ naka-t kway-ta-w;1SG.(NOM )=TOP child=ACC stick take:away-SV DROP-PAST-LOCUT:SUBJ;I took the stick away from the child.;SCSA;;Curnow (1997: 102);Curnow1997;102;120;;take;1;SG;;NOM;3;SG;;ACC;3;SG;;NOM
Awa Pit;na=na uspa=tuza tɨt kyan-na-ta-w;1SG.(NOM)=TOP 3PL=(3PL.)ACC cut THROW-PL:OBJ-PAST-LOCUT:SUBJ;I stabbed them.;Transitive;;Curnow (1997: 183);Curnow1997;183;360;;stab;1;SG;;NOM;/;/;/;/;3;SG;;ACC
Awa Pit;uspa=na au=mɨza tɨt  ;3PL.(NOM)=TOP 1PL=(1/2PL.)ACC cord give-PL:OBJ-PAST-NONLOCUT ;They passed us a cord.;SCSA;;Curnow (1997: 183);Curnow1997;183;363;;pass;3;PL;;NOM;1;PL;;ACC;3;SG;;NOM
Gitksan;Gi'nami=s Michael ts'a'waxs a=s Henlii.;give=PN Michael shoes PREP=PN Henry;Michael gave shoes to Henry.;ICIA;;Brown and Forbes (2018: 4);BrownForbes2018;4;13a;;give;3;SG;;;3;SG;;OBL;3;PL;;ABS
Gitksan;Naa wil [=t gi'nam=s Michael=hl ts'a'waxs] ?;who COMP [=3.ɪ give=PN Michael=CN shoes] ?;Who did Michael give shoes to?;ICIA;;Brown and Forbes (2018: 4);BrownForbes2018;4;13b;;give;3;SG;;;3;SG;;OBL;3;PL;;ABS
Gitksan;Gin-i=s Michael t Henlii a=hl hun.;give-TR=DN Michael DN Henry PREP=CN fish;Michael gave Henry fish.;SCSA;;Brown and Forbes (2018: 4);BrownForbes2018;4;16a;;give;3;SG;;;3;SG;;ABS;3;SG;;OBL
Gitksan;Gwi [=t gin=s =Michael t Henlii] ?;what [=3.ɪ give=DN Michael DN Henry] ?;What did Michael give Henry?;SCSA;;Brown and Forbes (2018: 4);BrownForbes2018;4;16b;;give;3;SG;;;3;SG;;ABS;3;SG;;OBL
Gitksan;Gu ma gins Michael_ ?;what 2.ɪ= feed-3.ɪɪ =DN Michael_ ;What did you feed Michael?;SCSA;;(VG) via Forbes (2018: 129);Forbes2018;129;52;;feed;2;SG;;ERG;3;SG;;ABS;3;SG;;OBL
Gitksan;gin-i-’y Michael a-t =hl yipx …;feed-TR-1SG.ɪɪ Michael PREP-3.ɪɪ =CN soup …;I fed Michael soup (when he was sick).;SCSA;;Forbes (2018: 156);Forbes2018;156;2a;;feed;1;SG;;;3;SG;;ABS;3;SG;;OBL
Gitksan;gu m= gin-t =s Michael_?;what 2.ɪ =feed-3.ɪɪ =DN Michael_;What did you feed Michael?;SCSA;;Forbes (2018: 157);Forbes2018;157;2b;;feed;2;SG;;ERG;3;SG;;ABS;3;SG;;OBL
Gitksan;Gi’nam-i-y =hl majag̲alee a-t =s Michael;give-TR-1SG.ɪɪ =CN flower PREP-3.ɪɪ =DN Michael;I gave flowers to Michael.;ICIA;;Forbes (2018: 157);Forbes2018;157;4a;;give;1;SG;;;3;SG;;OBL;3;PL;;ABS
Gitksan;naa win=ma gi'nam-t =hl majagalee _;who COMP=2.ɪ give-3.ɪɪ =CN flowers _;Who did you give flowers to?;ICIA;;Forbes (2018: 157);Forbes2018;157;4b;;give;2;SG;;ERG;3;SG;;OBL;3;PL;;ABS
Greenlandic (West);aningaasa-t Niisi-mut tunniup-pai;money pl. Niisi all. give 3s-3p-indic.;He gave the money to N.;ICIA;;Fortescue (1984: 88);Fortescue1984;88;;;give;3;SG;;;3;SG;;ALL;3;PL;;ABS
Greenlandic (West);Niisi aningaasa-nik tuni-vaa;Niisi money instr.-pl. give 3s-3s-indic.;He gave money to N.;SCSA;;Fortescue (1984: 89);Fortescue1984;89;;;give;3;SG;;;3;SG;;ABS;3;PL;;INST
Hamtai;aqo yänga qa-n-täp-i;3SG giving PRS.CONT-1SG.OBJ-give-3SG.SBJ;He is giving it to me.;SCSA;ACC.NOM(ACC), 17, 161;Oates and Oates (1968: 47);OatesOates1968;47;;;give;3;SG;;NOM;1;SG;;;3;SG;;
Hamtai;nti hope'a AQOI wi;you kaukau him 3SG.OBJ.give;You give him some kaukau.;SCSA;;Oates and Oates (1968: 47);OatesOates1968;47;;;give;2;SG;;NOM;3;SG;;ACC;3;SG;;NOM
Hamtai;äpaka qaiyänk*ol hope'a qu-wi-'i;woman husband kaukau PRS.CNT-3SG.OBJ.give-3SG.SBJ;The woman is giving her husband kaukau.;SCSA;;Oates and Oates (1968: 47);OatesOates1968;47;;;give;3;SG;;NOM;3;SG;;ACC;3;SG;;NOM
Hamtai;ni mä-nTa hl;1SG.OBJ NEG-talk do.IMP;Don't talk to me!;Transitive;;Oates and Oates (1968: 62);OatesOates1968;62;;;talk (imperative);;;;;/;/;/;/;1;SG;;ACC
Hamtai;ni ma-n-TÄPa hl;1SG.OBJ NEG-1SG-give-? do.IMP;Don't give it to me!;SCSA;;Oates and Oates (1968: 62);OatesOates1968;62;;;give (imperative);;;;;1;SG;;ACC;3;SG;;
Hamtai;aqoi mu-wi-'ya hl;him NEG-3SG.OBJ.give-? do.IMP ;Don't give it to him!;SCSA;;Oates and Oates (1968: 62);OatesOates1968;62;;;give (imperative);;;;;3;SG;;ACC;3;SG;;
Jaqaru;il̃-w-utu ;see-PST-3.SBJ>1.OBJ ;he saw me;Transitive;;Hardman (1966: 56);Hardman1966;56;;;see;3;SG;;;/;/;/;/;1;SG;;
Jaqaru;hayt'a-w-tam-ζi?!;leave-PST-3.SBJ>2.OBJ-? ;Did he leave you?;Transitive;;Hardman (1966: 56);Hardman1966;56;;;leave;3;SG;;;/;/;/;/;2;SG;;
Jaqaru;na-ha maŋ t'apra-p"a yak-utma sa-šu-qɑ.;I-to below wool-3.POSS give-2.SBJ>1.OBJ.IMP say-3SG-AFFIRM;Give me its wool, he said.;SCSA;;Hardman (1966: 103);Hardman1966;103;;;give (imperative);2;SG;;;1;SG;;ACC;3;SG;;NOM
Kham;ngɑ: zihm ngɑ-jxy-ke.;1SG. house 1SG.-build-PAST;I built a house.;Transitive;;Watters (1973: 44, 46, 54) via Dryer (1986: 817);Dryer1986;817;22a;;build;1;SG;;;/;/;/;/;3;SG;;ACC
Kham;no-e kɑ:h-LAY poh-ke-o. ;3SG.-ERG dog-OBJ beat-PAST-3SG. ;He beat the dog.;Transitive;;Watters (1973: 44, 46, 54) via Dryer (1986: 817);Dryer1986;817;22b;;beat;3;SG;;ERG;/;/;/;/;3;SG;;ACC
Kham;no-e ngɑ-LAY cyu:-NA-ke-o.  ;3SG.-ERG 1SG.-OBJ watch-1SG.-PAST-3SG. ;He watched me. ;Transitive;warum ist hier das DO am Verb markiert und bei 22b nicht? Weil es sich um eine Person handelt?;Watters (1973: 44, 46, 54) via Dryer (1986: 817);Dryer1986;817;22c;;watch;3;SG;;ERG;/;/;/;/;1;SG;;ACC
Kham;no-e ngɑ-LAY bxhtanji yɑ-N.-ke-o. ;3SG.-ERG 1SG.-OBJ potato give-1SG.-PAST-3SG. ;He gave a potato to me. ;SCSA;;Watters (1973: 44, 46, 54) via Dryer (1986: 817);Dryer1986;817;23;;give;3;SG;;ERG;1;SG;;ACC;3;SG;;NOM
Khanty (Eastern);Oxotńik wēᴧi-jat policejskij mə-ᴧ-təɣ;hunter reindeer-INSF police.officer give-PRS-3SG.SBJ>SG.OBJ;The hunter gives the police officer the reindeer.;SCSA;;F. Gulyás (2018: 81);FGulyas2018;81;19;;give;3;SG;;NOM;3;SG;;NOM;3;SG;;INSF
Khanty (Eastern);Oxotńik äwə-ᴧ-at ᴧüwat mə-ᴧ-təɣ;hunter girl-3SG.POSS-INSF 3SG.ACC give-PRS-3SG.SBJ>SG.OBJ;The hunter gives him/her his daughter.;SCSA;;F. Gulyás (2018: 81);FGulyas2018;81;20;;give;3;SG;;NOM;3;SG;;ACC;3;SG;;INSF
Khanty (Eastern);Mā äwə-m oxotńik-a mə-ᴧ-em.;1SG girl-1SG.POSS hunter-LAT give-PRS-1SG.SBJ>3.OBJ;I give my girl to the hunter.;ICIA;;F. Gulyás (2018: 81);FGulyas2018;81;21;;give;1;SG;;NOM;3;SG;;LAT;3;SG;;NOM
Khanty (Northern);(ma) aːn Juwan-a ma-s-eːm;I cup John-LAT give-PST-1SG.SBJ>SG.OBJ;I gave the cup to John.;ICIA;;Nikolaeva (2001: 32);Nikolaeva2001;32;37;;give;1;SG;;NOM;3;SG;;LAT;3;SG;;NOM
Khanty (Northern);(ma) Juwan aːn-na ma-s-eːm;I John cup-LOC give-PST-1SG.SBJ>SG.OBJ;I gave John a cup.;SCSA;;Nikolaeva (2001: 32);Nikolaeva2001;32;39;;give;1;SG;;NOM;3;SG;;NOM;3;SG;;LOC
Kwaza;jere'xwa 'kay-ki natau-'wã;jaguar scratch-DEC Natal-AO ;the jaguar scratched Natal ;Transitive;ACC marker is DOM based on animacy also for T. R and T are not marked at the same time.;van der Voort (2004: 106);vanderVoort2004;106;66;ausgelassen: 68-70, 72-76;scratch;3;SG;;NOM;/;/;/;/;3;SG;;ACC
Kwaza;ay-hỹ 'kay-ki ;that-NOM scratch-DEC ;that one scratched (him);Transitive;Objekt nicht realisiert, deswegen kein AO;van der Voort (2004: 106);vanderVoort2004;106;67;;scratch;3;SG;;NOM;/;/;/;/;3;SG;;
Kwaza;wã zjwãu-'wã e'xyi-ki ;bee João-AO sting-DEC ;a wasp stung João;Transitive;;van der Voort (2004: 106);vanderVoort2004;106;71;;sting;3;SG;;NOM;/;/;/;/;3;SG;;ACC
Kwaza;zjuze-'wã oja-'ta-da-ki  ;José-AO go-TRA-1S-DEC  ;I visited José. ;Transitive;;van der Voort (2004: 110);vanderVoort2004;110;109;ausgelassen: 108, 110-16;visit;1;SG;;;/;/;/;/;3;SG;;ACC
Kwaza;zjwãu-'wã ãwã'txi-da-ki;João-AO show-1S-DEC;I’m showing it to João ;SCSA;;van der Voort (2004: 112);vanderVoort2004;112;132;;show;1;SG;;;3;SG;;ACC;3;SG;;NOM
Kwaza;lu'zeu wa'dy-eteja-hͿ-ki maga'riDa((-tsy-hỹ)-wã) 'xyi((-tsy-hỹ)-wã) 'si-tsy-hỹ-wã  ;Luzeu give-1PO-NOM-DEC Margarida-GER-NOM-AO you-GER-NOM-AO I-GER-NOM-AO  ;Luzeu gave to Margarida, you and me (us) ;SCSA;;van der Voort (2004: 113);vanderVoort2004;113;141;;give;3;SG;;NOM;3;SG;;ACC;/;/;/;/
Kwaza;'si-wã ãwỹi-'dy-ta?ỹ-'ra;I-AO see-CAU-1SO-IMP;show it to me!;SCSA;;van der Voort (2004: 113);vanderVoort2004;113;143;;show (imperative);;;;;1;SG;;ACC;3;SG;;
Mansi (Northern);akw‘ sup-ä kaťi-tä-n mis-tä, akw‘ sup-ä āmp-ən mis-tä. ;one piece-3SG cat-3SG-LAT give.PST-SG.3SG one piece-3SG dog-LAT give.PST-SG.3SG ;(S)he gave one piece to his/her cat and the other one to the dog.;ICIA;;(VNGy IV, 343) via Bíró-Sipőcz (2017: 45);BíróSipőcz2017;45;10;;give;3;SG;;;3;SG;;LAT;3;SG;;
Mansi (Northern);Mań piγ-əm nē-γəl viγ-ləm. ;little son-1SG woman-INSTR take.PRS-SG.1SG;I will find a wife for my youngest son.;SCSA;;(VNGY IV, 324) via Bíró-Sipőcz (2017: 45);BíróSipőcz2017;45;11;;find;1;SG;;;3;SG;;;3;SG;;INS
Mansi (Northern);Nēnan am śopr-śonaχ-əl wār-i-jaγəm.;you(DU).ACC I silver-cup-INSTR make-PRS-DU.1SG;I make the two of you a silver cup.;SCSA;;(Kálmán 1976, 70) via Bíró-Sipőcz (2017: 45);BíróSipőcz2017;45;12;;make sth. for sb.;1;SG;;;2;DU;;ACC;3;SG;;INS
Mansi (Northern);Am mōjt tawen mojt-i-lum.;I tale (s)he.LAT tell-PRS-SG.1SG;I tell him the tale.;ICIA;;(Skribnik 2001, 228) via Bírő-Sipőcz (2017: 46);BíróSipőcz2017;46;15b;;tell;1;SG;;;3;SG;;LAT;3;SG;;
